ds,y
5/29/2014,157
5/30/2014,808
5/31/2014,117
6/1/2014,26
6/2/2014,41
6/3/2014,460
6/4/2014,98
6/5/2014,429
6/6/2014,76
6/7/2014,66
6/8/2014,83
6/9/2014,60
6/10/2014,66
6/11/2014,53
6/12/2014,192
6/13/2014,53
6/14/2014,71
6/15/2014,87
6/16/2014,84
6/17/2014,426
6/18/2014,413
6/19/2014,59
6/20/2014,56
6/21/2014,70
6/22/2014,63
6/23/2014,46
6/24/2014,199
6/25/2014,48
6/26/2014,53
6/27/2014,48
6/28/2014,93
6/29/2014,23
6/30/2014,43
7/1/2014,107
7/2/2014,72
7/3/2014,44
7/4/2014,44
7/5/2014,84
7/6/2014,63
7/7/2014,50
7/8/2014,50
7/9/2014,45
7/10/2014,62
7/11/2014,
7/12/2014,36
7/13/2014,42
7/14/2014,49
7/15/2014,438
7/16/2014,186
7/17/2014,38
7/18/2014,8
7/19/2014,20
7/20/2014,94
7/21/2014,42
7/22/2014,41
7/23/2014,40
7/24/2014,46
7/25/2014,79
7/26/2014,104
7/27/2014,519
7/28/2014,73
7/29/2014,73
7/30/2014,
7/31/2014,73
8/1/2014,5
8/2/2014,73
8/3/2014,5
8/4/2014,363
8/5/2014,367
8/6/2014,402
8/7/2014,281
8/8/2014,267
8/9/2014,533
8/10/2014,117
8/11/2014,42
8/12/2014,470
8/13/2014,297
8/14/2014,23
8/15/2014,599
8/16/2014,62
8/17/2014,
8/18/2014,44
8/19/2014,44
8/20/2014,46
8/21/2014,63
8/22/2014,148
8/23/2014,51
8/24/2014,1
8/25/2014,42
8/26/2014,28
8/27/2014,26
8/28/2014,507
8/29/2014,541
8/30/2014,10
8/31/2014,39
9/1/2014,665
9/2/2014,192
9/3/2014,265
9/4/2014,520
9/5/2014,398
9/6/2014,50
9/7/2014,42
9/8/2014,
9/9/2014,58
9/10/2014,66
9/11/2014,41
9/12/2014,91
9/13/2014,17
9/14/2014,59
9/15/2014,49
9/16/2014,86
9/17/2014,112
9/18/2014,291
9/19/2014,328
9/20/2014,75
9/21/2014,107
9/22/2014,68
9/23/2014,43
9/24/2014,46
9/25/2014,66
9/26/2014,89
9/27/2014,23
9/28/2014,73
9/29/2014,94
9/30/2014,85
10/1/2014,75
10/2/2014,52
10/3/2014,22
10/4/2014,54
10/5/2014,78
10/6/2014,8
10/7/2014,
10/8/2014,40
10/9/2014,56
10/10/2014,83
10/11/2014,27
10/12/2014,125
10/13/2014,108
10/14/2014,10
10/15/2014,29
10/16/2014,102
10/17/2014,87
10/18/2014,97
10/19/2014,46
10/20/2014,46
10/21/2014,
10/22/2014,
10/23/2014,
10/24/2014,
10/25/2014,
10/26/2014,
10/27/2014,
10/28/2014,
10/29/2014,
10/30/2014,
10/31/2014,
11/1/2014,
11/2/2014,
11/3/2014,
11/4/2014,
11/5/2014,
11/6/2014,
11/7/2014,
11/8/2014,
11/9/2014,
11/10/2014,
11/11/2014,
11/12/2014,
11/13/2014,
11/14/2014,
11/15/2014,
11/16/2014,
11/17/2014,
11/18/2014,
11/19/2014,
11/20/2014,
11/21/2014,
11/22/2014,
11/23/2014,
11/24/2014,
11/25/2014,
11/26/2014,
11/27/2014,
11/28/2014,
11/29/2014,
11/30/2014,
12/1/2014,
12/2/2014,
12/3/2014,
12/4/2014,
12/5/2014,
12/6/2014,
12/7/2014,
12/8/2014,
12/9/2014,
12/10/2014,
12/11/2014,
12/12/2014,
12/13/2014,
12/14/2014,
12/15/2014,
12/16/2014,
12/17/2014,
12/18/2014,
12/19/2014,
12/20/2014,
12/21/2014,20
12/22/2014,11
12/23/2014,5
12/24/2014,40
12/25/2014,23
12/26/2014,56
12/27/2014,34
12/28/2014,44
12/29/2014,18
12/30/2014,14
12/31/2014,37
1/1/2015,12
1/2/2015,16
1/3/2015,
1/4/2015,19
1/5/2015,25
1/6/2015,32
1/7/2015,33
1/8/2015,32
1/9/2015,26
1/10/2015,5
1/11/2015,
1/12/2015,31
1/13/2015,31
1/14/2015,58
1/15/2015,23
1/16/2015,24
1/17/2015,25
1/18/2015,19
1/19/2015,38
1/20/2015,
1/21/2015,23
1/22/2015,35
1/23/2015,30
1/24/2015,60
1/25/2015,
1/26/2015,44
1/27/2015,28
1/28/2015,310
1/29/2015,4
1/30/2015,241
1/31/2015,30
2/1/2015,18
2/2/2015,23
2/3/2015,324
2/4/2015,168
2/5/2015,20
2/6/2015,214
2/7/2015,36
2/8/2015,5
2/9/2015,29
2/10/2015,266
2/11/2015,285
2/12/2015,45
2/13/2015,78
2/14/2015,16
2/15/2015,5
2/16/2015,53
2/17/2015,37
2/18/2015,34
2/19/2015,23
2/20/2015,50
2/21/2015,18
2/22/2015,26
2/23/2015,38
2/24/2015,218
2/25/2015,4
2/26/2015,206
2/27/2015,13
2/28/2015,236
3/1/2015,6
3/2/2015,22
3/3/2015,22
3/4/2015,47
3/5/2015,67
3/6/2015,134
3/7/2015,70
3/8/2015,105
3/9/2015,91
3/10/2015,37
3/11/2015,458
3/12/2015,1
3/13/2015,426
3/14/2015,86
3/15/2015,67
3/16/2015,151
3/17/2015,68
3/18/2015,24
3/19/2015,
3/20/2015,
3/21/2015,
3/22/2015,
3/23/2015,
3/24/2015,
3/25/2015,
3/26/2015,72
3/27/2015,48
3/28/2015,67
3/29/2015,10
3/30/2015,51
3/31/2015,78
4/1/2015,81
4/2/2015,97
4/3/2015,583
4/4/2015,
4/5/2015,571
4/6/2015,123
4/7/2015,55
4/8/2015,44
4/9/2015,49
4/10/2015,54
4/11/2015,43
4/12/2015,65
4/13/2015,670
4/14/2015,68
4/15/2015,17
4/16/2015,463
4/17/2015,605
4/18/2015,40
4/19/2015,89
4/20/2015,184
4/21/2015,105
4/22/2015,105
4/23/2015,9
4/24/2015,60
4/25/2015,37
4/26/2015,11
4/27/2015,64
4/28/2015,63
4/29/2015,64
4/30/2015,65
5/1/2015,49
5/2/2015,81
5/3/2015,16
5/4/2015,109
5/5/2015,815
5/6/2015,253
5/7/2015,515
5/8/2015,421
5/9/2015,12
5/10/2015,120
5/11/2015,71
5/12/2015,78
5/13/2015,101
5/14/2015,52
5/15/2015,94
5/16/2015,17
5/17/2015,57
5/18/2015,90
5/19/2015,13
5/20/2015,35
5/21/2015,32
5/22/2015,56
5/23/2015,51
5/24/2015,41
5/25/2015,114
5/26/2015,79
5/27/2015,49
5/28/2015,181
5/29/2015,186
5/30/2015,79
5/31/2015,73
6/1/2015,89
6/2/2015,123
6/3/2015,97
6/4/2015,64
6/5/2015,169
6/6/2015,42
6/7/2015,102
6/8/2015,474
6/9/2015,156
6/10/2015,125
6/11/2015,114
6/12/2015,429
6/13/2015,51
6/14/2015,122
6/15/2015,101
6/16/2015,82
6/17/2015,127
6/18/2015,55
6/19/2015,96
6/20/2015,
6/21/2015,15
6/22/2015,441
6/23/2015,34
6/24/2015,248
6/25/2015,130
6/26/2015,520
6/27/2015,13
6/28/2015,136
6/29/2015,73
6/30/2015,14
7/1/2015,56
7/2/2015,36
7/3/2015,65
7/4/2015,85
7/5/2015,10
7/6/2015,70
7/7/2015,123
7/8/2015,107
7/9/2015,68
7/10/2015,700
7/11/2015,87
7/12/2015,97
7/13/2015,203
7/14/2015,364
7/15/2015,342
7/16/2015,110
7/17/2015,242
7/18/2015,651
7/19/2015,111
7/20/2015,86
7/21/2015,85
7/22/2015,92
7/23/2015,136
7/24/2015,71
7/25/2015,71
7/26/2015,65
7/27/2015,92
7/28/2015,71
7/29/2015,126
7/30/2015,36
7/31/2015,48
8/1/2015,67
8/2/2015,66
8/3/2015,89
8/4/2015,124
8/5/2015,75
8/6/2015,72
8/7/2015,155
8/8/2015,61
8/9/2015,113
8/10/2015,93
8/11/2015,127
8/12/2015,82
8/13/2015,77
8/14/2015,140
8/15/2015,34
8/16/2015,86
8/17/2015,76
8/18/2015,102
8/19/2015,50
8/20/2015,145
8/21/2015,91
8/22/2015,108
8/23/2015,24
8/24/2015,73
8/25/2015,112
8/26/2015,11
8/27/2015,
8/28/2015,
8/29/2015,23
8/30/2015,117
8/31/2015,62
9/1/2015,393
9/2/2015,310
9/3/2015,342
9/4/2015,95
9/5/2015,64
9/6/2015,63
9/7/2015,75
9/8/2015,169
9/9/2015,626
9/10/2015,128
9/11/2015,548
9/12/2015,77
9/13/2015,112
9/14/2015,114
9/15/2015,51
9/16/2015,168
9/17/2015,401
9/18/2015,14
9/19/2015,355
9/20/2015,8
9/21/2015,86
9/22/2015,51
9/23/2015,
9/24/2015,
9/25/2015,
9/26/2015,77
9/27/2015,
9/28/2015,97
9/29/2015,466
9/30/2015,133
10/1/2015,10
10/2/2015,241
10/3/2015,351
10/4/2015,89
10/5/2015,66
10/6/2015,78
10/7/2015,94
10/8/2015,87
10/9/2015,52
10/10/2015,63
10/11/2015,111
10/12/2015,91
10/13/2015,109
10/14/2015,91
10/15/2015,73
10/16/2015,90
10/17/2015,86
10/18/2015,99
10/19/2015,458
10/20/2015,272
10/21/2015,456
10/22/2015,76
10/23/2015,56
10/24/2015,35
10/25/2015,3
10/26/2015,686
10/27/2015,324
10/28/2015,583
10/29/2015,
10/30/2015,81
10/31/2015,54
11/1/2015,74
11/2/2015,88
11/3/2015,93
11/4/2015,57
11/5/2015,63
11/6/2015,103
11/7/2015,64
11/8/2015,93
11/9/2015,73
11/10/2015,96
11/11/2015,87
11/12/2015,143
11/13/2015,83
11/14/2015,145
11/15/2015,82
11/16/2015,54
11/17/2015,86
11/18/2015,70
11/19/2015,110
11/20/2015,82
11/21/2015,100
11/22/2015,144
11/23/2015,97
11/24/2015,69
11/25/2015,69
11/26/2015,69
11/27/2015,56
11/28/2015,68
11/29/2015,12
11/30/2015,70
12/1/2015,90
12/2/2015,
12/3/2015,35
12/4/2015,76
12/5/2015,100
12/6/2015,69
12/7/2015,85
12/8/2015,121
12/9/2015,70
12/10/2015,72
12/11/2015,58
12/12/2015,35
12/13/2015,59
12/14/2015,58
12/15/2015,81
12/16/2015,88
12/17/2015,63
12/18/2015,76
12/19/2015,68
12/20/2015,40
12/21/2015,451
12/22/2015,150
12/23/2015,140
12/24/2015,426
12/25/2015,76
12/26/2015,27
12/27/2015,
12/28/2015,61
12/29/2015,85
12/30/2015,48
12/31/2015,94
1/1/2016,33
1/2/2016,115
1/3/2016,
1/4/2016,63
1/5/2016,78
1/6/2016,68
1/7/2016,66
1/8/2016,67
1/9/2016,39
1/10/2016,60
1/11/2016,107
1/12/2016,64
1/13/2016,484
1/14/2016,370
1/15/2016,491
1/16/2016,60
1/17/2016,82
1/18/2016,77
1/19/2016,54
1/20/2016,77
1/21/2016,93
1/22/2016,96
1/23/2016,52
1/24/2016,12
1/25/2016,55
1/26/2016,69
1/27/2016,80
1/28/2016,10
1/29/2016,55
1/30/2016,69
1/31/2016,68
2/1/2016,76
2/2/2016,44
2/3/2016,90
2/4/2016,57
2/5/2016,93
2/6/2016,58
2/7/2016,56
2/8/2016,96
2/9/2016,95
2/10/2016,83
2/11/2016,67
2/12/2016,89
2/13/2016,41
2/14/2016,42
2/15/2016,62
2/16/2016,94
2/17/2016,102
2/18/2016,43
2/19/2016,36
2/20/2016,
2/21/2016,132
2/22/2016,88
2/23/2016,83
2/24/2016,92
2/25/2016,85
2/26/2016,28
